Characteristics,ALL,016,089,101,102,103,104,105,106,107,108,110,120,131,139,141,142,143,151,152,161,162,170,181,182,191,192,201,202,203,210,221,222,231,239,241,242,243,251,252,259,261,262,263,264,265,266,267,268,271,272,273,274,275,279,281,282,291,292,293,301,302,303,304,309,310,321,322,323,324,325,329,331,332,381,382,383,581,Others
Interest Received,1274584,12834,103,298,1465,1857,19622,13876,14807,40907,2519,5713,5587,44515,13450,16785,0,5786,2359,3060,514,2681,11072,12394,281,3601,41931,64442,26418,2384,57450,4803,23102,2173,38914,147102,152194,13273,33516,58,17725,10770,654,3389,6595,8697,638,233,6,24292,7277,5705,1538,2376,4171,45020,35205,50033,1733,30870,7298,3797,869,14,14833,1485,77304,187,295,85,3055,4980,6558,315,251,101,4221,2246,45911
Net Income,60306166,305860,4897,54466,32082,132653,234890,298023,613545,1737490,399664,676077,869023,2513327,441347,877544,1348,234348,104608,275007,8537,56475,653247,625208,10039,211239,7147475,2662317,2292261,246963,3609694,980296,1593043,172273,2680004,4842747,1118697,691901,1483654,13793,1337745,301329,204553,120726,694587,264620,84151,16810,-298,1407544,230173,397980,159418,469624,223096,2332866,1797415,1294606,111562,2014974,318579,155522,11644,615,1579006,205358,370076,4988,16074,7974,148526,141886,152871,105432,2625,4445,11754,143507,2555737
Net Fixed Capital Formation,16309792,20635,-951,2230,9324,87079,196757,70182,150081,571421,21953,204484,28672,900649,74947,67815,-14,41208,16263,37904,1165,42734,183337,54505,-57,11717,368720,100740,174603,-23401,604290,315518,324887,101709,773553,5906376,308036,223800,-70045,1784,462951,24323,-19058,25459,49670,6605,5409,495,-434,151904,59483,108483,8432,66527,58108,660880,258645,295237,11826,436206,99687,19021,12878,-17,-93861,40000,29493,-1404,3745,4696,2143,33664,45620,-8014,-539,1250,456,10053,1535160
Gross Fixed Capital Formation,28365547,59472,598,12929,22061,129986,310604,136741,301232,968044,36585,355163,62121,1795743,187954,173981,60,101904,39064,81327,2852,79074,445332,201223,519,48991,1352639,998577,426684,38426,1046730,465992,607742,179433,1509473,7237902,582493,374753,71208,2504,659797,92916,53532,52769,141691,25705,12265,2790,7,289155,100620,178401,33214,119331,88340,922030,453751,790268,35629,944983,128122,33934,17058,167,56057,62661,60215,889,6468,6487,21206,57757,64145,-3947,784,5541,1519,28103,2373068
"Addition in Stock of Materials,Fuels etc.",7742594,102430,22,4465,-515,29140,270962,-21261,411388,101994,31625,42440,65619,967235,78555,90838,-662,48019,24284,42766,-1617,45568,106877,54584,238,65764,573499,-460761,268831,15399,291936,-85121,136841,-867,199743,1010817,296895,101537,153887,3680,125133,38549,6551,20464,55354,38832,20519,686,293,171011,30907,5895,22136,81841,60590,314512,417783,263283,23042,295753,18011,4134,4166,78,82363,21835,84746,-536,3566,386,24745,21162,6951,3605,-59,65,16467,13534,377173
Addition in Stock of Semi-Finished Goods,2707800,-2385,261,3441,127,2017,33456,29643,26025,10631,-672,4288,1558,175101,37386,56620,-68,32917,11747,24282,45,4090,18904,8222,0,360,541125,103903,41726,3848,150044,45264,54756,1563,99998,219889,143826,34044,111754,3378,73818,5201,4427,3056,673,13926,1675,1206,7,87831,12143,86407,3949,3470,13840,107437,-26920,6324,6945,98053,98190,-3753,2254,100,9007,8544,33943,-926,1344,502,14438,4619,-443,439,0,0,1010,277,1669
Addition in Stock of Finished Goods,5774460,178453,-46,17539,26225,42569,138230,-595,314376,750166,5980,15015,32692,571754,51221,20748,-316,37533,4708,23175,2452,22641,18025,-11894,-25,18650,331942,202122,121489,24820,131595,87705,91304,9744,124375,892395,64628,90713,42594,197,54461,3379,-15719,-4771,55663,14407,9721,-384,54,92977,59748,32927,8420,37697,10386,105391,56547,188962,162,59664,706,2412,-87,139,31903,189,106576,200,2790,-31,-1654,5990,338,-301,0,19,-151,-830,361662
Addition in Stock of Total,16224854,278497,237,25444,25837,73725,442647,7787,751789,862791,36932,61742,99868,1714089,167162,168206,-1047,118470,40739,90223,879,72299,143806,50912,213,84774,1446567,-154737,432045,44067,573575,47848,282901,10441,424116,2123101,505350,226294,308235,7255,253412,47128,-4741,18749,111690,67164,31915,1508,353,351819,102798,125229,34506,123009,84816,527340,447409,458569,30149,453470,116907,2793,6333,318,123272,30568,225265,-1261,7701,857,37529,31771,6846,3743,-59,84,17326,12981,740508
Addition in Stock of Gross Capital Formation,44590400,337969,835,38373,47898,203711,753251,144528,1053021,1830835,73517,416905,161989,3509833,355117,342186,-986,220373,79802,171551,3732,151373,589138,252136,732,133766,2799206,843840,858729,82493,1620305,513840,890643,189874,1933589,9361003,1087843,601046,379443,9759,913209,140045,48791,71518,253381,92870,44181,4298,361,640973,203419,303630,67720,242340,173156,1449369,901161,1248837,65778,1398453,245029,36726,23391,485,179329,93229,285481,-371,14169,7344,58736,89528,70991,-204,725,5625,18845,41083,3113574
Addition in Stock of Profits,39016161,238517,1287,32533,438,67507,105534,57098,366313,903037,348462,481736,673859,1185516,170929,178337,742,28265,12841,86393,2693,-14878,271252,301467,8382,139096,6583211,1811398,1689974,186529,2449630,688110,1146236,65440,1740669,3123324,751962,364650,929651,10209,802700,83995,151274,45499,549602,114549,53441,7398,-556,779696,136481,230587,89898,376176,129553,1368552,980471,704342,-1582,973775,223523,89660,402,-588,1212382,102180,165272,-630,3902,3702,84873,74115,62009,78137,1926,2064,6915,82228,2059886
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
